id_property,date_scrape,property_name,date_post,date_update,area_m2,price_eur,rooms,heating,parking,furniture,details,description,location
NkEy-xYeI_F,2023-08-09,"Petlovo Brdo, u kuci, za PP ID#815747",03.08.2023,09.08.2023,180,1100,5.0,"Klima,",Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Petosoban+ stan Kvadratura: 180 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 5 Broj kupatila: 1 Spratnost: 1 Ukupan brој spratova: 2,"Izdaje se stan u kuci na Petlovom brdu. Uz stan postoji i pripadajuce parking mesto. Na dva nivoa je, poseban ulaz. Pogodno i za poslovni prostor. Poseduje cetiri spavace sobe, dva kupatila, jedna kuhinja, dva dnevna boravka i dve terase. Pored stana postoji i magacinski ili kancelarijski prostor od 100m2 sa posebnim ulazom i kapijom i cena tog prostora je 700 eura. Taj prostor poseduje jedno kupatilo i jedan ogroman prostor od 60m2 i dve manje kancelarije. Agencijska provizija je 50% od ugovorene cene zakupa.","Srbija, Grad Beograd, Beograd, Petlovo brdo, Gocka"
Nk-dQ0vFhqt,2023-08-09,"4,0 Novi Beograd, Blok 65, Savada 3, nov, 3 garazna mesta ID#2102",03.08.2023,09.08.2023,96,1450,4.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 96 m² Uknjizeno: Da Godina izgradnje: 2022 Stanje nekretnine: Novogradnja Ukupan broj soba: 4 Broj kupatila: 1 Spratnost: 3 Ukupan brој spratova: 8,"4,0 Novi Beograd , Blok 65 , Savada 3 , 96m2 , III/VIII , cg , lift , perfektan stan odlicnog rasporeda i orijentacije , novogradnja  2022.godine , dvostrano orijentisan , svetao , odlicna zgrada i ulaz ... Stan poseduje 3 parking mesta koja su u ceni stana , prazan ( sa ugradnom kuhinjom i plakarima ) , opciono namesten , uknjizen. Pogodan kako za stambeni tako i za poslovni prostor.   Struktura: ulazni hodnik , dnevna soba sa kuhinjom i trpezarijom , tri spavace sobe , dve terase, kupatilo, toalet Agencijska provizija 50%","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 65"
NkhGw8aJEdn,2023-08-09,"4,0 Senjak , luksuzan  stan u salonskoj vili , garaza , dvoriste ID#2115",03.08.2023,09.08.2023,130,2800,4.0,"Klima,",Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 130 m² Uknjizeno: Da Godina izgradnje: 1935 Stanje nekretnine: Izvorno stanje Ukupan broj soba: 4 Broj kupatila: 2 Spratnost: Visoko prizemlje Ukupan brој spratova: 1,"4,0  Savski venac , Senjak , vrhunska lokacija , Kablarska , 130m2 , Vpr / 1 , eg-gas + toplotna pumpa , luksuzan  stan u salonskoj vili , kompletno renoviran 2010. godine ,  blizina Internacionalnih skola , pijace i prodavnica , namesten ili prazan , orijentisan istok-zapad , svetao , visina plafona 3,2m , Hrastov parket , Alu stolarija , motorne roletne, Italijanska keramika , sanitarije Hans-Grohe i Geberit , garaza 28m2 , predivno  dvoriste od 400m2 na koriscenje , laundry i teretana u polusuturenu na koriscenje , alarm , video nadzor , kucni ljubimci po dogovoru , minimalan period zakupa dve godine.  Struktura -  ulazni antre , dnevna soba sa trpezarijom i izlazom na terasu povrsine 15m2 , kuhinja ,  dve spavace sobe , dva kupatila . Agencijska provizija 50%","Srbija, Grad Beograd, Beograd, Senjak, Kablarska"
Nk2TCKOX8YZ,2023-08-09,Senjak 100m2 ID#1318,02.08.2023,09.08.2023,100,1400,4.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 100 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 4 Broj kupatila: 2 Spratnost: 1 Ukupan brој spratova: 3,"Specijalna ponuda retko u prodaji ultralux U stambenom objekatu novije gradnje se nalazi ova impozantna nepokretnost u rezidencijalnom delu Senjaka Mikrolokacija je odlicno saobracajno povezana  sa ostalim delovima grada sto olaksava mreza novih gradskih saobracajnica kao i Most na Adi ka Novom Beogradu. U neposrednoj blizini objekta nalazi se nekoliko internacionalnih skola I  vrtica, pijaca, marketi, veliki broj restorana i kafica. Mala zgrada sa malim brojem stanova visokog kvaliteta gradnje sa pikovanom fasadom u ogradjenom dvoristu trostruko obezbedjena na par minuta voznje od  od Ade Cganlije I Cume Kosutnjak dva najposecenija sportsko-rekreativna centra, a u blizini je i Hipodrom za ljubitelje konjickog sporta. Na samom ulazu u objekat vas docekuju  stepenice, podest i hol od granitnog kamena, a unutrasnji stepenisni prostor od granitne keramike. Na ulazu u stan koji je  na prvom spratu orjentisan ka sve cetiri strane sveta  otvort ce Vam i  blindirana sigurnosna vrata sa ukrasnim panelom i ino bravom. Siroki ulazni hodnik vas vodi u prostrani open space  produzeni dnevni boravak  koji odise udobnoscu i toplinom upotpunjen  trpezarijrijom gde ce te razgovarati sa svojim ukucanima ili gostima, opustati  se i smejeti iz hranu  pice koju mozete pripremiti u kuhinji koja je radjena po meri od specijalizovanih  proizvodjaca plocastih materijala  I okova sa tehnickim elementima renomiranih brendova gde je spojena esttetika i funkcionalnost. Konfor ovog prostora se vidi I kroz svedeni spavaci blok od tri spavace sobe  od kojih se svaka moze koristiti I u druge namene, iz jedne  spavace sobe se izlazi na terasu. Dva kupatila sa tus kabinama su izuzetno lepa i odisu funkcionalnoscu dobijenom kroz izabrane boje i podrzano toplim materijalima tako da deluju opustajuce a keramika sanitarije I sanitarna galanterija je italijnske, nemacke I spanske proizvodnje. Prostor je opremljen novim modernim elementima najboljih svetskih brendova , spustenim plafonima .led rasvetom , aluminijumskom spoljasnom stolarijom sa aluminijumskim roletnama i velikim oknima tako da je obezbedjen mali koeficijent ulaza I izlaza toplote, odlicno je zvucno izolovan, inokeramika na podovima  , jednokriln sobna staklenih vrata , stan je klimatizovan . Retko u ponudi atraktivna nekretnina koja pruza pun konfor. Zakupac placa proviziju 50% od iznosa jedne ugovorene mesecne rente","Srbija, Grad Beograd, Beograd, Senjak, Senjacka"
NkU2_iwY8OS,2023-08-09,Vozdovac-Kraljevacka-3.5 soba-CG,28.05.2023,07.08.2023,63,450,3.5,Centralno,Da,Nenamesten,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 63 m² Stanje nekretnine: Standardna gradnja Opremljenost nekretnine: Nenamesten Pozicija: Mirna lokacija Ukupan broj soba: 3.5 Broj kupatila: 1 Spratnost: 4 Ukupan broj spratova: 5,"Renovirani 3,5 soban stan (dnevna soba i tri spavace sobe). Stan se prvi put izdaje posle renoviranja. Stan se nalazi u mirnom kraju Vozdovca, okruzen parkovima, sportskim i igralistima za decu. U neposrednioj blizini se nalazi skola, vrtic i mnogobrojni marketi, kao i veliki broj fakulteta. Pogodan za sudente. Pokrivenost gradskim prevozom je dobra (9,10,14,18,25,33,39). Sva tehnika, bojler sanitarna armatura i namestaj su novi. Mogucnost kupovine ves masine ukoliko stanari ne poseduju svoju. Stan se nalazi na cetvrtom spratu od pet spratova. Centralno grejanje. Ispred zgrade se nalazi veliki javni parking.","Srbija, Grad Beograd, Beograd, Vozdovac, Kraljevacka"
Nk33AEifYv0,2023-08-09,Novi Beograd - Blok 70 ID#53845,02.08.2023,09.08.2023,45,400,2.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 45 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: Visoko prizemlje Ukupan brој spratova: 4,could not find,"Srbija, Grad Beograd, Beograd, Novi Beograd Blok 70 (Kineski TC), Omladinskih brigada"
NkcZW9DFQ6j,2023-08-09,"Centar, Kalemegdan, Gornji Dorcol, dvosoban lux",29.05.2023,07.08.2023,68,900,2.0,Centralno,Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 68 m² Pozicija: Centar Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 2 Ukupan broj spratova: 4,Stan ima i terasu koja gleda na ulicu.,"Srbija, Grad Beograd, Beograd, Studentski Trg ( centar ), Zmaja od Nocaja"
NkWYABVGoSJ,2023-08-09,"Izdavanje, Stan 2.0, DjERAM",02.08.2023,04.08.2023,56,550,2.0,Centralno,Ne,Standardno namesten,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 56 m² Uknjizeno: Da Stanje nekretnine: Standardna gradnja Opremljenost nekretnine: Standardno namesten Pozicija: Centar Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 6 Ukupan broj spratova: 7,"Stan se nalazi na Zvezdari u blizini Vise poslovne skole Blizu samog stana nalazi se Maxi, Idea, skola, vrtic, tramvajska i autobuska stanica Stan je dvosoban kvadrature 56 m2 Struktura stana - dnevna soba sa trpezarijom, odvojena kuhinja, spavaca soba, kupatilo i zastakljena terasa Stan se nalazi u zgradi na sestom spratu od ukupno sedam Stan je standardno opemljen namestajem i belom tehnikom (ves masina,klima…) Grejanje je gradsko, na toplanu Obavezan deposit Odmah useljiv Kontakt vlasnika: 0646141412","Srbija, Grad Beograd, Beograd, Vukov spomenik, Vojvode Brane"
NkTT8_hvrhm,2023-08-09,"Zvezdara, Gradistanska, garsonjera, pogodna i za pp ..",02.08.2023,05.08.2023,20,170,1.0,TA,Ne,Nenamesten,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Jednosoban stan Kvadratura: 20 m² Opremljenost nekretnine: Nenamesten Ukupan broj soba: 1 Broj kupatila: 1 Spratnost: Prizemlje,"Zvezdara, Gradistanska, garsonjera, pogodna i za pp .. / blizu ul. Dimitrija Tucovica, garsonjera u prizemlju pogodna i za kancelarije, zaseban ulaz, kupatilo, prazna, funkcionalna, odmah useljiva, izdaje se samo na duzi period ..    .. AGENCIJSKA PROVIZIJA JE IZNOS POLOVINE JEDNE MESECNE ZAKUPNINE ..","Srbija, Grad Beograd, Beograd, Zvezdara, Gradistanska"
NkK_-YWKHQr,2023-08-09,Izdajem stan u Visnjickoj banji,02.08.2023,02.08.2023,54,500,2.0,Etazno,Ne,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 54 m² Uknjizeno: Da Opremljenost nekretnine: Namesten sa uredjajima Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 2 Ukupan broj spratova: 4,Izdajem stan u Visnjickoj banji na 6 km od centra grada. Dvostrano orientisan sa pogledom na Dunav. Za vise informacija mozete pozvati na broj 0656039438,"Srbija, Grad Beograd, Beograd, Visnjicka banja"
NkMDYHa8X4a,2023-08-09,"ZEPTERRA STAN / namesten, nov + garaza / LUX",02.08.2023,03.08.2023,55,1100,2.0,"Centralno,",Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 55 m² Opremljenost nekretnine: Iznad standarda Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 3,"Saobracajna povezanost sa ostalim delovima grada je izuzetna. Neposredna blizina Airport City-ja, trznog centra Delta City i drugih poslovnih objekata, kao i supermarketa, kafica i restorana.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 65, Bulevara heroja sa Kosara 6, Novi Beograd"
Nkd63BXXLF7,2023-08-09,"53m2, T ,HRAM SV. SAVE , stan",02.08.2023,08.08.2023,53,700,2.0,Centralno,Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 53 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Spratnost: 1 Ukupan brој spratova: 4,could not find,"Srbija, Grad Beograd, Beograd, Vracar (Hram), DUBLJANSKA"
Nk-RzxcuXpE,2023-08-09,"Vracar, novogradnja, odlican 4.0 stan sa garaznim mestom ID#1977",02.08.2023,09.08.2023,93,1300,4.0,"Klima,",Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 93 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 4 Broj kupatila: 3 Spratnost: 3 Ukupan brој spratova: 4,"Vracar, Neimar, Rudnicka ulica. Potpuno namesten i renoviran stan povrsine 93m², na trecem spratu, dvostrano orijentisan. Stan poseduje tri spavace sobe,kuhinju sa trpezarijom, dnevnu sobu,predsoblje,  dva kupatila i toalet, dve terase. Centralno grejanje sa kalorimetrima, klima, internet,interfon, KATV, lift.  U cenu je uracunato i garazno mesto.  Agencijska provizija koju placa Zakupac iznosi 50% od dogovorene mesecne zakupnine jednokratno. 065-2653-460;  063-227-063 Vracar, Neimar, Rudnicka Street. Fully furnished and renovated apartment of 93m², on the third floor, oriented on both sides. The apartment has three bedrooms, a kitchen with a dining room, a living room, an entrance hall, two bathrooms and a toilet, two terraces. Central heating with calorimeters, air conditioning, internet,intercom,  KATV, elevator. The price includes a garage space. The agency commission paid by the Tenant is 50% of the agreed monthly rent once. 065-2653-460;  063-227-063 Врачар, Неимар, улица Рудничка. Полностью меблированная и отремонтированная квартира площадью 93 м², на третьем этаже, ориентированная на обе стороны. В квартире три спальни, кухня со столовой, гостиная, прихожая, две ванные комнаты и туалет, две террасы. Центральное отопление с калориметрами, кондиционер, интернет,домофон, кабельное телевидение, лифт. В стоимость входит место в гараже. Комиссия агентства, уплачиваемая Арендатором, составляет 50% от согласованной месячной арендной платы один раз. 065-2653-460;  063-227-063 .","Srbija, Grad Beograd, Beograd, Neimar, Rudnicka"
NkqmwjiYL_1,2023-08-09,"Lux 4.0 apartman , Hram Sv. Save ID#2020",02.08.2023,09.08.2023,160,2500,4.0,"Klima,",Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 160 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 4 Broj kupatila: 2 Spratnost: 5 Ukupan brој spratova: 6,"Vracar, ulica Patrijarha Varnave. Izuzetan stan, u zgradi sa portirom i 24h nadzorom sa garazom na -1 zgrade. Povrsina stana je 160m² sa dve odvojene lodje, dva kupatila, kuhinje sa ostavom, 3 spavace sobe, garderoberom  i velikom dnevnom sobom sa trpezarijom i salonom. Stan se nalazi na petom spratu, a sa terase se pruza predivan pogled na Hram Sv. Save. CG ( grejanje i hladjenje), internet, KATV, lift, video nadzor. Iskoristite  retko pruzenu priliku da iznajmite ovaj izuzetan stan. Agencijska provizija koju placa Zakupac iznosi 50% od dogovorene mesecne zakupnine jednokratno. 065-2653-460 ;  065-2856-612 Vracar, Patrijarha Varnave street. Exceptional apartment, in a building with a porter and 24h surveillance with a garage at -1 building. The area of the apartment is 160m² with two separate loggias, two bathrooms, a kitchen with a pantry, 3 bedrooms, a wardrobe and a large living room with a dining room and a lounge. The apartment is located on the fifth floor, and from the terrace there is a wonderful view of the Temple of St. Sava. CG (heating and cooling), internet, KATV, elevator, video surveillance. Take advantage of the rare opportunity to rent this exceptional apartment. The agency commission paid by the Tenant is 50 % of the agreed monthly rent once.Ideal for diplomatic personal. 065-2653-460; 065-2856-612 .","Srbija, Grad Beograd, Beograd, Vracar (Hram), Patrijarha Varnave"
